threshold	method	best_epoch	best_loss	assign_dim_1	assign_dim_2	n_taxa	n_sites
prev_10	bicor	5	7.620457649230957	13	6	173	4
prev_10	mi_aracne	5	4.987491130828857	13	6	173	4
prev_10	pearson	5	5.215196132659912	13	6	173	4
prev_10	spearman	5	5.7344069480896	13	6	173	4
prev_3	bicor	5	9.32960033416748	19	9	374	4
prev_3	mi_aracne	5	4.851114749908447	19	9	374	4
prev_3	pearson	5	4.990549087524414	19	9	374	4
prev_3	spearman	5	7.0291948318481445	19	9	374	4
prev_5	bicor	5	8.217462539672852	17	8	274	4
prev_5	mi_aracne	5	4.990764617919922	17	8	274	4
prev_5	pearson	5	5.12667179107666	17	8	274	4
prev_5	spearman	5	6.312982559204102	17	8	274	4
