threshold	method	validation_core	best_epoch	best_heldout_auc	module_k	module_silhouette
prev_10	bicor	GeoB25202_R2	1	0.5	3	0.5429225564002991
prev_10	mi_aracne	GeoB25202_R2	2	0.745223754440449	2	0.6736797094345093
prev_10	pearson	GeoB25202_R2	2	0.5812239788503806	2	0.397277295589447
prev_10	spearman	GeoB25202_R2	5	0.7465846854572147	2	0.6291518211364746
prev_3	bicor	GeoB25202_R2	1	0.5014013596365751	4	0.5592696666717529
prev_3	mi_aracne	GeoB25202_R2	1	0.7140065063275725	2	0.7468155026435852
prev_3	pearson	GeoB25202_R2	1	0.6607745916874735	2	0.643095850944519
prev_3	spearman	GeoB25202_R2	1	0.5088781764054974	2	0.4913685917854309
prev_5	bicor	GeoB25202_R2	1	0.5	7	0.4671189785003662
prev_5	mi_aracne	GeoB25202_R2	1	0.7445180978618176	2	0.727821946144104
prev_5	pearson	GeoB25202_R2	1	0.6719067585818558	2	0.6194827556610107
prev_5	spearman	GeoB25202_R2	1	0.5	3	0.49387186765670776
