threshold	method	taxa_plotted	glacial_enriched	interglacial_enriched	neither	taxon_embedding_plot	site_embedding_plot
prev_10	bicor	173	21	36	116	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/bicor/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/bicor/figures/vgae_site_embedding_mis_pca.png
prev_10	mi_aracne	173	21	36	116	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png
prev_10	pearson	173	21	36	116	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/pearson/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/pearson/figures/vgae_site_embedding_mis_pca.png
prev_10	spearman	173	21	36	116	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/spearman/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/spearman/figures/vgae_site_embedding_mis_pca.png
prev_3	bicor	374	16	45	313	/src/results/ngraph/abundance_thresholding/deep_modules/prev_3/bicor/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_3/bicor/figures/vgae_site_embedding_mis_pca.png
prev_3	mi_aracne	374	16	45	313	/src/results/ngraph/abundance_thresholding/deep_modules/prev_3/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_3/mi_aracne/figures/vgae_site_embedding_mis_pca.png
prev_3	pearson	374	16	45	313	/src/results/ngraph/abundance_thresholding/deep_modules/prev_3/pearson/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_3/pearson/figures/vgae_site_embedding_mis_pca.png
prev_3	spearman	374	16	45	313	/src/results/ngraph/abundance_thresholding/deep_modules/prev_3/spearman/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_3/spearman/figures/vgae_site_embedding_mis_pca.png
prev_5	bicor	274	18	40	216	/src/results/ngraph/abundance_thresholding/deep_modules/prev_5/bicor/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_5/bicor/figures/vgae_site_embedding_mis_pca.png
prev_5	mi_aracne	274	18	40	216	/src/results/ngraph/abundance_thresholding/deep_modules/prev_5/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_5/mi_aracne/figures/vgae_site_embedding_mis_pca.png
prev_5	pearson	274	18	40	216	/src/results/ngraph/abundance_thresholding/deep_modules/prev_5/pearson/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_5/pearson/figures/vgae_site_embedding_mis_pca.png
prev_5	spearman	274	18	40	216	/src/results/ngraph/abundance_thresholding/deep_modules/prev_5/spearman/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_5/spearman/figures/vgae_site_embedding_mis_pca.png
